Title,Location,Price,Area
Apartment Brouwersgracht 248 A,            1013 HE Amsterdam (Haarlemmerbuurt)        ,"                €1,900 per month            ",78 m²
Apartment Jacob van Lennepstraat 230 A,            1053 KB Amsterdam (Van Lennepbuurt)        ,"                €2,750 per month            ",117 m²
Apartment Prinsengracht,            1017 JJ Amsterdam (Grachtengordel-Zuid)        ,"                €1,950 per month            ",70 m²
Apartment Bijlmerdreef,"            1102 RR Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,750 per month            ",96 m²
Apartment Johan van der Keukenstraat,            1087 BC Amsterdam (IJburg West)        ,"                €1,250 per month            ",47 m²
Apartment Ruysdaelkade 85 I,            1072 AL Amsterdam (Oude Pijp)        ,"                €1,850 per month            ",60 m²
Apartment Vrolikstraat 200 4 Hoog,            1092 TS Amsterdam (Oosterparkbuurt)        ,"                €1,350 per month            ",43 m²
Apartment De Clercqstraat 134 II,            1052 NP Amsterdam (Kinkerbuurt)        ,"                €1,950 per month            ",87 m²
Apartment Deurloostraat,            1078 HT Amsterdam (Scheldebuurt)        ,"                €1,950 per month            ",85 m²
Room Nieuwe Laan,            1068 CB Amsterdam (Osdorp-Oost)        ,                €575 per month            ,95 m²
Apartment Rijnstraat,            1079 HE Amsterdam (Rijnbuurt)        ,"                €2,350 per month            ",85 m²
Apartment Dickenslaan 21,"            1102 XN Amsterdam (Bijlmer Centrum (D,F,H))        ",                €950 per month            ,35 m²
Apartment Rustenburgerstraat,            1074 ER Amsterdam (Nieuwe Pijp)        ,"                €2,650 per month            ",95 m²
Apartment Warmoesstraat,            1012 JD Amsterdam (Burgwallen-Oude Zijde)        ,"                €2,500 per month            ",125 m²
Apartment Molukkenstraat,            1094 BS Amsterdam (Indische Buurt West)        ,"                €1,400 per month            ",41 m²
Apartment Leiduinstraat,            1058 SK Amsterdam (Hoofddorppleinbuurt)        ,"                €1,850 per month            ",65 m²
House Prinses Marijkestraat,            1077 XC Amsterdam (Prinses Irenebuurt e.o.)        ,"                €5,500 per month            ",183 m²
Apartment Reguliersgracht 140 I,            1017 LZ Amsterdam (De Weteringschans)        ,"                €1,700 per month            ",55 m²
Apartment Oostelijke Handelskade 1205,            1019 DN Amsterdam (Oostelijk Havengebied)        ,"                €2,100 per month            ",100 m²
Apartment Prinsenstraat 13 II,            1015 DA Amsterdam (Grachtengordel-West)        ,"                €1,950 per month            ",75 m²
Apartment Wilhelminastraat 148 2,            1054 WR Amsterdam (Overtoomse Sluis)        ,"                €1,625 per month            ",53 m²
Apartment Pieter Aertszstraat 88 III/IV,            1073 ST Amsterdam (Nieuwe Pijp)        ,"                €2,500 per month            ",95 m²
Apartment Vrolikstraat,            1091 VE Amsterdam (Oosterparkbuurt)        ,"                €1,650 per month            ",56 m²
Apartment Badhuiskade 73,            1031 KV Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,300 per month            ",81 m²
Apartment Michelangelostraat 105 3,            1077 CA Amsterdam (Apollobuurt)        ,"                €7,750 per month            ",266 m²
Apartment Sint Jansstraat 52 1,            1012 HG Amsterdam (Burgwallen-Oude Zijde)        ,"                €1,450 per month            ",45 m²
Apartment Stadionweg,            1077 SV Amsterdam (Apollobuurt)        ,"                €3,500 per month            ",135 m²
Apartment Binnenkant,            1011 BP Amsterdam (Nieuwmarkt/Lastage)        ,"                €3,500 per month            ",167 m²
Apartment Plantage Muidergracht 27 2,            1018 TL Amsterdam (Weesperbuurt/Plantage)        ,"                €2,250 per month            ",66 m²
Apartment Haarlemmermeerstraat 30 III,            1058 KA Amsterdam (Hoofddorppleinbuurt)        ,"                €1,760 per month            ",69 m²
Apartment Tweede Helmersstraat,            1054 CJ Amsterdam (Helmersbuurt)        ,"                €1,750 per month            ",70 m²
Apartment Woubruggestraat 14 I,            1059 VR Amsterdam (Hoofddorppleinbuurt)        ,"                €1,850 per month            ",67 m²
